time,temp,rhum,prcp,wspd,pres
2025-10-31 01:34:54,23.86,71,0.0,1.04,1012
2025-10-31 01:41:38,23.86,71,0.0,1.04,1012
2025-10-31 01:41:38,23.86,71,0.0,1.04,1012
2025-10-31 01:41:38,23.86,71,0.0,1.04,1012
2025-10-31 01:55:00,21.0,82,0.0,1.04,1012
2025-11-05 11:16:05,27.57,63,0.0,4.15,1010
2025-11-13 10:49:44,29.79,38,0.0,1.57,1013
2025-11-13 11:09:13,29.79,40,0.0,1.57,1013
2026-01-05 09:28:42,28.11,29,0.0,3.55,1014
2026-01-07 07:12:53,26.69,23,0.0,4.46,1017
2026-01-07 07:38:11,27.4,21,0.0,4.22,1015
2026-01-08 07:55:04,26.86,21,0.0,5.06,1016
2026-01-10 02:42:30,17.37,40,0.0,1.7,1019
2026-01-10 04:37:10,22.35,30,0.0,4.42,1019
2026-01-10 04:37:10,22.35,30,0.0,4.42,1019
